Optimize, Execute
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/10c.sql
0.007120668, 9.633522061
0.004662702, 9.539687979
0.004670195, 9.512002044
0.004693198, 9.496954248
0.004700472, 9.609944038
0.004680154, 9.638021757
0.004669324, 9.558082115
0.004635771, 9.493660777
0.004660807, 9.606246323
0.004663423, 9.594611290
0.004685875, 9.709914558
0.004658664, 9.770346994
0.004736109, 9.613553789
0.004678972, 9.596410746
0.004658223, 9.519946785
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/12a.sql
0.008223541, 0.615010191
0.009304854, 0.572219243
0.009375617, 0.568515615
0.009297381, 0.570368180
0.009162568, 0.568210374
0.009199838, 0.572724848
0.009080405, 0.567632954
0.009339649, 0.566557413
0.009100723, 0.566917306
0.009302140, 0.569512289
0.009279156, 0.568736348
0.009164813, 0.572058843
0.009364476, 0.566591536
0.009121621, 0.569044394
0.009221098, 0.566661387
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/12b.sql
0.008989715, 0.001838208
0.007645080, 0.001158888
0.007592771, 0.001137267
0.007460886, 0.001113813
0.007485281, 0.001115476
0.007518223, 0.001119954
0.007599434, 0.001179587
0.007481293, 0.001151093
0.007501691, 0.001142597
0.007541706, 0.001150261
0.007538691, 0.001130114
0.007447460, 0.001121919
0.007563507, 0.001149690
0.007462438, 0.001124684
0.007433474, 0.001115948
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/12c.sql
0.007913862, 2.091033976
0.009395414, 2.096211780
0.009315044, 2.085129862
0.009415951, 2.101557929
0.009500460, 2.089511748
0.009306326, 2.099648608
0.009659357, 2.090143951
0.009290498, 2.094178026
0.009389593, 2.094292871
0.009416622, 2.093430808
0.009496622, 2.070524784
0.009534193, 2.092793265
0.009358224, 2.094831317
0.009408388, 2.096300946
0.009304845, 2.095775613
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/13a.sql
0.011916049, 3.758789973
0.012077481, 3.754382519
0.012139076, 3.750386044
0.012208876, 3.747624970
0.012212433, 3.740335134
0.012161899, 3.742882899
0.012108208, 3.750193734
0.012195500, 3.746398265
0.012198006, 3.740369899
0.012071349, 3.749441737
0.012002489, 3.742895464
0.012136670, 3.737798881
0.011964268, 3.773624791
0.012148703, 3.750647082
0.012156278, 3.809705968
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/13b.sql
0.012240455, 1.598674085
0.012037435, 1.599823314
0.012091838, 1.601774584
0.012102688, 1.597807964
0.011995547, 1.591038392
0.012082530, 1.600119658
0.012098079, 1.591159589
0.012100743, 1.590891168
0.012102117, 1.609279471
0.012122905, 1.591161834
0.011965340, 1.590679402
0.012183929, 1.597800321
0.012087619, 1.599819377
0.012161777, 1.590620773
0.012108929, 1.602560213
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/13c.sql
0.012037937, 1.528571161
0.012178640, 1.539650445
0.012270942, 1.522520534
0.012248861, 1.526906729
0.012137123, 1.529151577
0.012136490, 1.526028876
0.012178870, 1.540751634
0.012210400, 1.541088795
0.012167509, 1.535736434
0.012153521, 1.530719159
0.012456640, 1.526298912
0.012277545, 1.526407605
0.012329702, 1.546006953
0.012358716, 1.531135577
0.012225547, 1.539798001
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/13d.sql
0.011977523, 5.800040561
0.012084263, 5.796556785
0.011873157, 5.855701092
0.012064365, 5.795184799
0.011998272, 5.796350027
0.012144646, 5.783650254
0.012213054, 5.788135964
0.012177117, 5.775878528
0.012213756, 5.857970856
0.012141821, 5.779341184
0.012112845, 5.837842298
0.012202084, 5.790098144
0.012103920, 5.790748922
0.012235626, 5.788683558
0.012206061, 5.782756061
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/14a.sql
0.009018318, 0.624067550
0.008945371, 0.612690902
0.008867626, 0.611053931
0.008731402, 0.606121154
0.008741561, 0.609112449
0.008876021, 0.612659915
0.008885190, 0.605688415
0.008863018, 0.608387543
0.008796504, 0.605303023
0.008820407, 0.612823240
0.008721774, 0.605412649
0.008816931, 0.611967450
0.008764554, 0.605679348
0.008715432, 0.611135332
0.008775865, 0.605631338
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/14b.sql
0.008907340, 0.275321903
0.008521099, 0.269335896
0.008506761, 0.264866919
0.008569027, 0.270576517
0.008562025, 0.269280243
0.008626486, 0.268255826
0.008612960, 0.270705448
0.008598253, 0.270184003
0.008641373, 0.268425964
0.008278634, 0.272980093
0.008588004, 0.270406119
0.008485282, 0.266284909
0.008593663, 0.272180478
0.008604375, 0.268609358
0.008636565, 0.268443457
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/14c.sql
0.008571512, 1.107274972
0.008851707, 1.123831751
0.008820458, 1.121251405
0.008808074, 1.123918654
0.008803807, 1.120749515
0.008962664, 1.126429609
0.008703960, 1.120396474
0.008830427, 1.120079782
0.008792756, 1.122960350
0.008826700, 1.118478587
0.008876802, 1.092279524
0.008853801, 1.113905655
0.008883787, 1.121924724
