Optimize, Execute
execute /home/pei/Project/benchmarks/tpcds-kit/tools/1_instance_out_qs_Official/1/query2/query2_0.sql
0.012057612, 1.006469315
0.002172456, 0.978475932
0.001433293, 0.985060956
0.002139092, 0.982327185
0.002107444, 0.976976571
0.001476148, 0.980766894
0.002156923, 0.995345225
0.002144737, 0.997569204
0.002134562, 0.990151047
0.001466772, 0.979134667
0.002106625, 0.990539074
0.002166814, 0.988902764
0.002126811, 0.980737640
0.002125122, 0.985959234
0.001504089, 0.996887908
execute /home/pei/Project/benchmarks/tpcds-kit/tools/1_instance_out_qs_Official/1/query5/query5_0.sql
0.004215664, 0.703167090
0.004488755, 0.670085070
0.005501769, 0.679882345
0.004123253, 0.667606297
0.005572393, 0.671528955
0.004193577, 0.669432309
0.005395368, 0.674345489
0.003404571, 0.684275005
0.004880741, 0.667046804
0.003548037, 0.669996664
0.003476713, 0.702661491
0.003443474, 0.705586894
0.005527693, 0.703630999
0.005500272, 0.714378178
0.003594807, 0.718589367
execute /home/pei/Project/benchmarks/tpcds-kit/tools/1_instance_out_qs_Official/1/query8/query8_0.sql
0.002571109, 0.345121209
0.003452446, 0.319248368
0.003556217, 0.330733461
0.003637051, 0.325073519
0.003475043, 0.330608764
0.003482639, 0.329316936
0.003478333, 0.328027269
0.003505605, 0.325388147
0.002278707, 0.319848706
0.003466212, 0.319122655
0.003490012, 0.318905936
0.003389193, 0.321134994
0.002276566, 0.324002828
0.003432520, 0.324016735
0.002258608, 0.318240028
execute /home/pei/Project/benchmarks/tpcds-kit/tools/1_instance_out_qs_Official/1/query9/query9_0.sql
0.002239491, 2.877250472
0.002200796, 2.882291224
0.002214803, 2.880206760
0.002186956, 2.874697399
0.002202477, 2.883764371
0.002308736, 2.864265638
0.002174477, 2.860688718
0.002162421, 2.861142887
0.002247820, 2.851017581
0.001540941, 2.848460441
0.001528533, 2.846795125
0.001479746, 2.841857626
0.001503941, 2.839962851
0.001484785, 2.833843461
0.002194405, 2.850776434
execute /home/pei/Project/benchmarks/tpcds-kit/tools/1_instance_out_qs_Official/1/query14/query14_0.sql
0.005772135, 12.241857941
0.002776772, 25.952368499
0.008725305, 12.156130712
0.003557687, 25.783287597
0.006282426, 12.182017936
0.002832939, 25.746983283
0.009167393, 12.151724541
0.002697073, 25.726472756
0.009290435, 12.211023305
0.002844413, 25.811614528
0.006253835, 12.148852272
0.002776983, 25.761596856
0.009323366, 12.160747209
0.004894401, 25.778112315
0.006383714, 12.218563670
0.002920919, 25.824871305
0.006342580, 12.203024325
0.002663206, 25.833470941
0.006869421, 12.147132387
0.003060264, 25.782491987
0.006353530, 12.220549236
0.003189782, 25.857500541
0.006214416, 12.150894352
0.003009867, 25.695664395
0.006259054, 12.177669059
0.002943172, 25.695553003
0.006185454, 12.142225943
0.003177643, 25.764544580
0.009269493, 12.142642613
0.002720320, 25.768594783
execute /home/pei/Project/benchmarks/tpcds-kit/tools/1_instance_out_qs_Official/1/query21/query21_0.sql
0.003281275, 1.059810709
0.001749019, 1.047979632
0.001724546, 1.053293165
0.002510278, 1.056880347
0.002317096, 1.074987618
0.002330990, 1.052625111
0.001756914, 1.053762453
0.001788763, 1.051473053
0.002545121, 1.053030542
0.002596704, 1.056494047
0.002510971, 1.054730449
0.002539190, 1.059958758
0.002493255, 1.055929107
0.002531796, 1.056189959
0.002530396, 1.057900733
execute /home/pei/Project/benchmarks/tpcds-kit/tools/1_instance_out_qs_Official/1/query23/query23_0.sql
0.004528715, 3.479739528
0.002787926, 3.423704725
0.004603556, 3.463397473
0.002913958, 3.434393913
0.006239968, 3.481202953
0.002782020, 3.445103687
0.004034771, 3.464959080
0.002837336, 3.435651412
0.006485237, 3.461130674
0.002771021, 3.436428429
0.006869694, 3.480128826
